"Price","Distance","Type","BuildingArea","Bathroom","Rooms","Car","Landsize","YearBuilt","Propertycount","Date","SaleYear","AgeWhenSold"
1035000,2.5,"h",79,1,2,0,156,1900,4019,"4/02/2016",2016,116
1465000,2.5,"h",150,2,3,0,134,1900,4019,"4/03/2017",2017,117
1600000,2.5,"h",142,1,4,2,120,2014,4019,"4/06/2016",2016,2
1876000,2.5,"h",210,2,3,0,245,1910,4019,"7/05/2016",2016,106
1636000,2.5,"h",107,1,2,2,256,1890,4019,"8/10/2016",2016,126
1097000,2.5,"h",75,1,2,2,220,1900,4019,"8/10/2016",2016,116
1350000,2.5,"h",190,2,3,2,214,2005,4019,"12/11/2016",2016,11
750000,2.5,"u",94,2,2,1,0,2009,4019,"12/11/2016",2016,7
1310000,2.5,"h",97,1,2,2,238,1890,4019,"15/10/2016",2016,126
1200000,2.5,"h",110,2,3,1,113,1880,4019,"16/07/2016",2016,136
1176500,2.5,"h",105,1,3,1,138,1890,4019,"16/07/2016",2016,126
890000,2.5,"h",73,1,2,1,150,1985,4019,"17/09/2016",2016,31
1330000,2.5,"h",135,2,4,2,780,1900,4019,"18/03/2017",2017,117
5e+05,2.5,"u",60,1,2,1,0,1970,4019,"18/06/2016",2016,46
1100000,2.5,"h",135,2,2,1,124,2013,4019,"18/06/2016",2016,3
1315000,2.5,"h",85,1,2,0,147,1900,4019,"19/11/2016",2016,116
1447500,2.5,"h",174,3,3,1,166,2012,4019,"22/08/2016",2016,4
1135000,2.5,"h",128,2,2,2,98,1920,4019,"22/08/2016",2016,96
1290000,2.5,"h",124,1,3,1,168,1950,4019,"25/02/2017",2017,67
470000,2.5,"u",50,1,1,1,0,2013,4019,"26/07/2016",2016,3
1180000,2.5,"h",91,1,2,0,162,1900,4019,"27/11/2016",2016,116
1195000,2.5,"h",128,2,3,1,120,1998,4019,"27/11/2016",2016,18
1012500,2.5,"h",82,1,2,0,182,1900,4019,"28/05/2016",2016,116
1030000,2.5,"h",81,1,2,1,172,1930,4019,"30/07/2016",2016,86
840000,13.5,"t",225,2,3,1,303,2016,3464,"3/09/2016",2016,0
730000,13.5,"h",145,2,3,1,0,1965,3464,"3/12/2016",2016,51
770000,13.5,"h",145,2,3,1,0,1965,3464,"4/03/2017",2017,52
603000,13.5,"h",84,1,2,1,272,1950,3464,"4/03/2017",2017,67
7e+05,13.5,"t",134,2,3,2,239,2009,3464,"4/03/2017",2017,8
6e+05,13.5,"h",116,1,3,1,290,1980,3464,"4/03/2017",2017,37
5e+05,13.5,"u",86,1,2,1,168,2011,3464,"4/03/2017",2017,6
725000,13.5,"h",186,3,6,2,976,1980,3464,"7/05/2016",2016,36
450000,13.5,"t",90,1,2,1,110,2015,3464,"7/05/2016",2016,1
515000,13.5,"u",73,1,2,1,141,2013,3464,"7/11/2016",2016,3
530000,13.5,"u",94,1,2,1,120,2012,3464,"10/09/2016",2016,4
895000,13.5,"h",133,1,3,6,1063,1975,3464,"10/09/2016",2016,41
805000,13.5,"h",105,1,3,1,0,1950,3464,"10/12/2016",2016,66
752000,13.5,"u",130,1,3,1,265,1993,3464,"11/02/2017",2017,24
7e+05,13.5,"t",133,2,3,2,165,2009,3464,"15/10/2016",2016,7
830000,13.5,"h",113,1,3,2,971,1960,3464,"16/04/2016",2016,56
675000,13.5,"h",100,1,2,1,612,1975,3464,"16/07/2016",2016,41
1042000,13.5,"h",174,2,3,5,612,1950,3464,"16/07/2016",2016,66
773000,13.5,"h",309,3,4,4,531,1980,3464,"17/09/2016",2016,36
810000,13.5,"h",192,3,3,2,555,1980,3464,"18/03/2017",2017,37
715000,13.5,"h",126,2,3,2,422,1995,3464,"18/03/2017",2017,22
540000,13.5,"t",101,2,3,1,161,2010,3464,"18/06/2016",2016,6
825000,13.5,"t",102,2,3,1,293,1960,3464,"19/11/2016",2016,56
685000,13.5,"h",113,1,3,1,579,1975,3464,"22/05/2016",2016,41
9e+05,13.5,"h",146,2,4,3,628,1975,3464,"27/11/2016",2016,41
1275000,3.3,"h",82,1,2,0,120,1900,3280,"3/09/2016",2016,116
2850000,3.3,"h",198,2,3,0,211,1890,3280,"4/03/2017",2017,127
1850000,3.3,"h",133,2,3,0,128,1890,3280,"4/03/2017",2017,127
1436000,3.3,"h",81,1,2,0,130,1900,3280,"4/03/2017",2017,117
2300000,3.3,"h",180,2,4,1,153,1880,3280,"7/05/2016",2016,136
1800000,3.3,"h",159,2,3,1,132,1996,3280,"7/11/2016",2016,20
2120000,3.3,"h",107,1,2,1,199,1900,3280,"10/09/2016",2016,116
1800000,3.3,"h",122,2,3,1,90,1900,3280,"10/09/2016",2016,116
2615000,3.3,"h",181,2,3,1,177,1880,3280,"10/12/2016",2016,136
1370000,3.3,"h",85,2,3,2,0,2000,3280,"12/06/2016",2016,16
1322500,3.3,"h",98,1,2,0,149,1890,3280,"15/10/2016",2016,126
1562500,3.3,"h",83,1,2,0,141,1890,3280,"15/10/2016",2016,126
2e+06,3.3,"h",147,2,3,1,211,1900,3280,"16/04/2016",2016,116
3010000,3.3,"h",146,2,3,0,147,1890,3280,"18/03/2017",2017,127
2800000,3.3,"h",254,3,4,1,327,1910,3280,"18/06/2016",2016,106
2100000,3.3,"h",123,1,3,1,120,1900,3280,"23/04/2016",2016,116
2e+06,3.3,"h",131,1,3,1,238,1890,3280,"24/09/2016",2016,126
442500,3.3,"u",34,1,1,0,0,1970,3280,"25/02/2017",2017,47
4735000,3.3,"h",207,2,4,1,330,1910,3280,"25/02/2017",2017,107
2140000,3.3,"h",145,2,4,1,183,1880,3280,"27/06/2016",2016,136
980000,3.3,"h",68,1,2,0,79,1890,3280,"28/05/2016",2016,126
1740000,3.3,"h",134,2,3,2,147,1890,3280,"28/08/2016",2016,126
